ID,Name,LongName,photoUrl,playerUrl,Nationality,Age,↓OVA,POT,Club,Contract,Positions,Height,Weight,Preferred Foot,BOV,Best Position,Joined,Loan Date End,Value,Wage,Release Clause,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defending,Marking,Standing Tackle,Sliding Tackle,Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,W/F,SM,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,Hits
212692,Rony Lopes,Marcos Paulo Mesquita Lopes,https://cdn.sofifa.com/players/212/692/21_60.png,http://sofifa.com/player/212692/marcos-paulo-mesquita-lopes/210006/,Portugal,24.0,78,83.0,"



OGC Nice","Jun 30, 2021 On Loan","LW, LM, CAM",174cm,68kg,Left,79,CAM,"Aug 14, 2019","Jun 30, 2021",€21M,€27K,€0,322.0,78,76,38,74,56,380,82,76,73,67.0,82,397,81,74,82,72.0,88,329,77,51.0,68,58,75,282,39,29,74,75.0,65,74,85,30,28,27,56,11.0,10.0,12.0,12.0,11.0,1851,393,3 ★,4★,High,Medium,2 ★,77,74,74.0,82.0,30,56.0,66
216150,D. Zappacosta,Davide Zappacosta,https://cdn.sofifa.com/players/216/150/21_60.png,http://sofifa.com/player/216150/davide-zappacosta/210006/,Italy,28.0,78,78.0,"



Genoa","Jun 30, 2021 On Loan","RB, RWB",185cm,70kg,Right,78,RB,"Aug 31, 2017","Jun 30, 2021",€12.5M,€77K,€0,352.0,81,59,69,74,69,351,76,74,59,68.0,74,362,75,75,71,73.0,68,357,75,65.0,79,66,72,342,75,76,68,64.0,59,73,231,74,78,79,45,11.0,9.0,8.0,6.0,11.0,2040,434,3 ★,3★,High,High,2 ★,75,66,72.0,74.0,76,71.0,39
215057,I. Marcone,Iván Marcone,https://cdn.sofifa.com/players/215/057/21_60.png,http://sofifa.com/player/215057/ivan-marcone/210006/,Argentina,30.0,78,78.0,"



Elche CF","Jun 30, 2021 On Loan","CDM, CM",182cm,79kg,Right,78,CDM,"Jan 18, 2019","Jun 30, 2021",€12M,€18K,€0,301.0,58,48,66,80,49,349,74,59,60,76.0,80,301,55,48,60,74.0,64,358,73,55.0,85,81,64,347,80,74,58,76.0,59,81,218,72,74,72,65,16.0,11.0,12.0,16.0,10.0,1939,407,3 ★,3★,Low,High,1 ★,51,57,72.0,74.0,72,81.0,31
213666,R. Loftus-Cheek,Ruben Loftus-Cheek,https://cdn.sofifa.com/players/213/666/21_60.png,http://sofifa.com/player/213666/ruben-loftus-cheek/210006/,England,24.0,78,84.0,"



Fulham","Jun 30, 2021 On Loan",CM,191cm,88kg,Right,80,CAM,"Jun 3, 2013","Jun 30, 2021",€22M,€70K,€0,324.0,62,66,58,84,54,363,84,60,57,81.0,81,342,63,73,69,70.0,67,360,76,59.0,74,83,68,342,79,59,79,80.0,45,80,187,59,67,61,58,11.0,7.0,12.0,15.0,13.0,1976,433,3 ★,4★,High,Medium,1 ★,69,67,76.0,80.0,62,79.0,141
204529,M. Batshuayi,Michy Batshuayi,https://cdn.sofifa.com/players/204/529/21_60.png,http://sofifa.com/player/204529/michy-batshuayi/210006/,Belgium,26.0,78,79.0,"



Crystal Palace","Jun 30, 2021 On Loan",ST,185cm,91kg,Right,79,ST,"Jul 3, 2016","Jun 30, 2021",€17M,€88K,€0,360.0,65,81,75,62,77,305,78,66,46,36.0,79,377,75,75,75,77.0,75,377,81,80.0,64,79,73,296,63,23,81,62.0,67,81,85,37,26,22,57,9.0,10.0,16.0,7.0,15.0,1857,395,5 ★,4★,Medium,Low,2 ★,75,79,58.0,78.0,33,72.0,84
203775,L. Karius,Loris Karius,https://cdn.sofifa.com/players/203/775/21_60.png,http://sofifa.com/player/203775/loris-karius/210006/,Germany,27.0,78,81.0,"



1. FC Union Berlin","Jun 30, 2021 On Loan",GK,189cm,87kg,Right,78,GK,"Jul 1, 2016","Jun 30, 2021",€14M,€60K,€0,139.5,14,18,19,39,14,119,35,12,14,41.0,40,277,55,54,51,74.0,43,249,59,74.0,36,64,16,146,21,13,21,50.0,19,60,33,9,11,13,72,20.5,20.5,20.5,20.5,20.5,1263,443,3 ★,1★,Medium,Medium,2 ★,82,72,78.0,81.0,54,76.0,76
199189,R. Barkley,Ross Barkley,https://cdn.sofifa.com/players/199/189/21_60.png,http://sofifa.com/player/199189/ross-barkley/210006/,England,26.0,78,81.0,"



Aston Villa","Jun 30, 2021 On Loan","CM, CAM",186cm,87kg,Right,81,CAM,"Jan 5, 2018","Jun 30, 2021",€18M,€81K,€0,346.0,67,69,65,83,62,389,83,69,73,80.0,84,340,69,69,65,76.0,61,371,81,64.0,69,76,81,348,74,54,75,80.0,65,80,165,54,60,51,51,9.0,14.0,12.0,6.0,10.0,2010,431,5 ★,4★,Medium,Medium,2 ★,69,74,78.0,80.0,57,73.0,125
192075,A. Candreva,Antonio Candreva,https://cdn.sofifa.com/players/173/221/21_60.png,http://sofifa.com/player/173221/antonio-candreva/210005/,Italy,33.0,78,78.0,"



Sampdoria","Jun 30, 2021 On Loan",RM,"5'11""",154lbs,Right,78,RM,"Aug 3, 2016","Jun 30, 2021",€6.5M,€23K,€0,361.0,79,73,55,79,75,381,80,74,71,74.0,82,367,70,74,72,75.0,76,344,87,36.0,80,60,81,370,66,67,79,75.0,83,73,177,61,63,53,46,10.0,4.0,14.0,4.0,14.0,2046,432,4 ★,4★,Medium,Medium,3 ★,72,78,77.0,79.0,61,65.0,31
212811,M. Lemina,Mario Lemina,https://cdn.sofifa.com/players/212/811/21_60.png,http://sofifa.com/player/212811/mario-lemina/210006/,Gabon,26.0,77,78.0,"



Fulham","Jun 30, 2021 On Loan","CM, CDM",184cm,85kg,Right,78,CM,"Aug 8, 2017","Jun 30, 2021",€12.5M,€52K,€0,347.0,72,57,68,82,68,378,80,72,68,77.0,81,355,69,75,69,73.0,69,353,81,46.0,75,73,78,355,70,72,71,74.0,68,68,217,72,74,71,60,12.0,9.0,15.0,8.0,16.0,2065,438,3 ★,3★,Medium,Medium,2 ★,72,68,76.0,78.0,72,72.0,44
192075,S. Rudy,Sebastian Rudy,https://cdn.sofifa.com/players/189/251/21_60.png,http://sofifa.com/player/189251/sebastian-rudy/210006/,Germany,30.0,77,77.0,"



TSG 1899 Hoffenheim","Jun 30, 2021 On Loan","CM, CDM, RB",180cm,72kg,Right,77,CM,"Aug 27, 2018","Jun 30, 2021",€10M,€29K,€0,340.0,73,62,59,80,66,394,76,81,77,80.0,80,359,66,66,75,78.0,74,353,73,65.0,77,66,72,357,58,81,69,78.0,71,80,223,79,73,71,56,13.0,8.0,13.0,12.0,10.0,2082,430,3 ★,3★,Medium,Medium,2 ★,66,67,78.0,77.0,75,67.0,35
219258,Pedro Henrique,Pedro Henrique Pereira da Silva,https://cdn.sofifa.com/players/219/258/21_60.png,http://sofifa.com/player/219258/pedro-henrique-pereira-da-silva/210006/,Brazil,27.0,77,80.0,"



Al Wehda","Jun 30, 2021 On Loan",CB,190cm,88kg,Left,79,CB,"Jul 16, 2015","Jun 30, 2021",€12M,€11K,€0,227.0,29,35,75,65,23,221,54,29,35,41.0,62,245,41,53,42,76.0,40,307,68,34.5,77,91,37,270,83,77,32,35.0,43,75,238,81,82,75,55,15.0,8.0,11.0,11.0,10.0,1563,349,2 ★,2★,Medium,High,1 ★,45,42,45.0,56.0,79,83.0,28
192622,S. Duffy,Shane Duffy,https://cdn.sofifa.com/players/192/622/21_60.png,http://sofifa.com/player/192622/shane-duffy/210006/,Republic of Ireland,28.0,77,78.0,"



Celtic","Jun 30, 2021 On Loan",CB,193cm,76kg,Right,78,CB,"Aug 26, 2016","Jun 30, 2021",€10M,€52K,€0,254.0,38,40,84,62,30,232,45,37,33,62.0,55,231,44,44,35,75.0,36,345,60,89.0,63,84,49,298,86,77,49,41.0,45,65,229,76,78,75,56,9.0,11.0,16.0,8.0,12.0,1645,345,3 ★,2★,Medium,High,1 ★,45,46,50.0,48.0,78,79.0,26
192075,O. Ighalo,Odion Ighalo,https://cdn.sofifa.com/players/185/195/21_60.png,http://sofifa.com/player/185195/odion-ighalo/210006/,Nigeria,31.0,77,77.0,"



Manchester United","Jan 30, 2021 On Loan",ST,183cm,73kg,Right,77,ST,"Feb 14, 2019","Jan 30, 2021",€9M,€21K,€0,363.0,66,80,71,70,76,329,77,64,55,55.0,78,365,72,74,71,75.0,73,380,81,75.0,68,84,72,325,74,32,77,67.0,75,73,123,37,45,41,57,9.0,11.0,13.0,16.0,8.0,1942,412,3 ★,4★,Medium,Low,1 ★,73,78,65.0,76.0,42,78.0,107
197948,F. Lejeune,Florian Lejeune,https://cdn.sofifa.com/players/197/948/21_60.png,http://sofifa.com/player/197948/florian-lejeune/210006/,France,29.0,77,78.0,"



Deportivo Alavés","Jun 30, 2021 On Loan",CB,189cm,89kg,Right,78,CB,"Jul 4, 2017","Jun 30, 2021",€9.5M,€38K,€0,293.0,51,50,75,75,42,293,62,47,41,70.0,73,280,46,50,55,72.0,57,360,75,77.0,60,82,66,297,81,81,46,46.0,43,77,229,80,76,73,60,11.0,15.0,15.0,12.0,7.0,1812,385,3 ★,2★,Medium,High,2 ★,48,57,61.0,65.0,78,76.0,25
224394,Fábio Martins,Fábio Santos Martins,https://cdn.sofifa.com/players/224/394/21_60.png,http://sofifa.com/player/224394/fabio-santos-martins/210006/,Portugal,26.0,77,77.0,"



Al Shabab","Jun 30, 2021 On Loan","LM, CF",178cm,70kg,Right,77,LM,"Jul 1, 2014","Jun 30, 2021",€11.5M,€16K,€0,348.0,72,69,69,73,65,365,84,77,58,66.0,80,392,78,75,85,77.0,77,371,80,74.0,74,62,81,334,71,44,75,74.0,70,82,137,37,48,52,53,9.0,15.0,7.0,13.0,9.0,2000,416,3 ★,4★,High,Medium,1 ★,76,74,71.0,82.0,46,67.0,19
192075,Alan Carvalho,Alan Douglas Borges de Carvalho,https://cdn.sofifa.com/players/188/044/21_60.png,http://sofifa.com/player/188044/alan-douglas-borges-de-carvalho/210006/,China PR,30.0,77,77.0,"



Beijing Sinobo Guoan FC","Dec 31, 2020 On Loan","ST, LW, LM",184cm,72kg,Right,77,ST,"Jan 16, 2015","Dec 31, 2020",€10.5M,€27K,€0,365.0,66,79,76,68,76,375,83,78,72,63.0,79,404,83,83,88,75.0,75,372,74,81.0,75,74,68,313,54,33,78,72.0,76,70,77,35,20,22,55,11.0,7.0,14.0,7.0,16.0,1961,412,3 ★,4★,High,Low,2 ★,83,75,68.0,82.0,33,71.0,35
221832,L. Olaza,Lucas Olaza,https://cdn.sofifa.com/players/221/832/21_60.png,http://sofifa.com/player/221832/lucas-olaza/210006/,Uruguay,25.0,77,80.0,"



RC Celta","Jun 30, 2021 On Loan",LB,175cm,68kg,Left,77,LB,"Jan 31, 2019","Jun 30, 2021",€13M,€16K,€0,344.0,78,65,65,77,59,371,73,76,80,64.0,78,367,77,76,70,67.0,77,368,81,66.0,75,68,78,361,70,73,77,69.0,72,72,226,67,80,79,56,8.0,14.0,11.0,11.0,12.0,2093,438,3 ★,3★,High,Medium,1 ★,76,71,74.0,74.0,73,70.0,31
216452,Gonçalo Paciência,Gonçalo Mendes Paciência,https://cdn.sofifa.com/players/216/452/21_60.png,http://sofifa.com/player/216452/goncalo-mendes-paciencia/210006/,Portugal,25.0,77,79.0,"



FC Schalke 04","Jun 30, 2021 On Loan",ST,184cm,79kg,Right,79,ST,"Jul 12, 2018","Jun 30, 2021",€13.5M,€30K,€0,345.0,34,80,84,69,78,317,79,67,41,51.0,79,339,62,55,72,76.0,74,383,77,76.0,75,82,73,352,83,37,79,74.0,79,81,74,21,30,23,50,9.0,8.0,14.0,12.0,7.0,1860,386,4 ★,4★,Medium,Medium,1 ★,58,78,59.0,78.0,33,80.0,51
213400,D. Laxalt,Diego Laxalt,https://cdn.sofifa.com/players/213/400/21_60.png,http://sofifa.com/player/213400/diego-laxalt/210006/,Uruguay,27.0,77,77.0,"



Celtic","Jun 30, 2021 On Loan",LM,178cm,71kg,Left,77,LM,"Aug 17, 2018","Jun 30, 2021",€11M,€38K,€0,308.0,78,60,43,78,49,347,77,61,60,72.0,77,405,84,89,84,72.0,76,349,74,63.0,91,55,66,323,72,66,68,68.0,49,76,202,64,70,68,49,10.0,12.0,10.0,9.0,8.0,1983,433,3 ★,4★,High,High,2 ★,87,63,73.0,77.0,65,68.0,87
212886,W. Cyprien,Wylan Cyprien,https://cdn.sofifa.com/players/212/886/21_60.png,http://sofifa.com/player/212886/wylan-cyprien/210006/,France,25.0,77,79.0,"



Parma","Jun 30, 2021 On Loan","CM, CDM",181cm,78kg,Right,79,CAM,"Jul 27, 2016","Jun 30, 2021",€13M,€34K,€0,359.0,73,75,67,80,64,389,78,76,82,74.0,79,369,71,73,78,73.0,74,392,80,80.0,75,78,79,386,78,76,72,77.0,83,79,221,75,77,69,57,8.0,16.0,8.0,11.0,14.0,2173,455,3 ★,4★,Medium,Medium,2 ★,72,77,77.0,78.0,74,77.0,56
201377,J. Murillo,Jeison Murillo,https://cdn.sofifa.com/players/201/377/21_60.png,http://sofifa.com/player/201377/jeison-murillo/210006/,Colombia,28.0,77,79.0,"



RC Celta","Jun 30, 2021 On Loan",CB,182cm,78kg,Right,79,CB,"Jan 14, 2020","Jun 30, 2021",€10.5M,€20K,€0,289.0,56,37,75,67,54,251,58,38,26,66.0,63,368,72,75,76,73.0,72,317,68,88.0,70,78,13,316,88,79,45,58.0,46,75,228,73,77,78,60,14.0,13.0,8.0,11.0,14.0,1829,391,3 ★,2★,Medium,High,2 ★,74,40,59.0,63.0,76,79.0,24
192075,Iago Falqué,Iago Falqué Silva,https://cdn.sofifa.com/players/190/264/21_60.png,http://sofifa.com/player/190264/iago-falque-silva/210006/,Spain,30.0,77,77.0,"



Benevento","Jun 30, 2021 On Loan","CF, ST, RW",174cm,69kg,Left,78,CAM,"Jan 4, 2017","Jun 30, 2021",€10.5M,€46K,€0,351.0,76,72,53,81,69,390,81,80,75,72.0,82,385,75,69,82,74.0,85,290,70,34.5,61,50,75,306,48,26,78,77.0,77,76,122,54,36,32,54,15.0,5.0,14.0,13.0,7.0,1898,397,3 ★,4★,High,Low,3 ★,72,73,78.0,81.0,41,52.0,17
